stadium_id,球場名,category_id,カテゴリ名,判定,一言要約,詳細・条件,情報源種別,公式ページ名,公式URL,確認日,検証状態
baystars_yokohama,横浜スタジアム,alcohol,アルコール,不可,場外からのアルコール持ち込みは不可,持ち込み可能な飲料は体調管理用の水筒・ペットボトルに限られます。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,bag_check,手荷物検査,可,入場時に手荷物検査あり,入場ゲートで手荷物検査を実施します。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,can,缶,不可,缶入り飲料は持ち込み不可,一般の飲食物持ち込み禁止の対象です。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,carry_case,キャリーケース,条件付き,座席スペースに収まらないキャリーケースは不可,通路や周囲の観戦を妨げない範囲に限られます。大型品は来場前に駅等のロッカーへ預けてください。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,更新確認待ち
baystars_yokohama,横浜スタジアム,cashless,キャッシュレス,可,横浜スタジアムは原則キャッシュレス,2026年2月28日から店舗・各種窓口で原則現金を利用できません。利用可能な決済方法を事前に確認してください。,球団公式,横浜スタジアム キャッシュレス化のお知らせ,https://www.baystars.co.jp/news/2026/02/0204_03.php,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,food,飲食物,条件付き,一般の飲食物は持ち込み不可,衛生面から持ち込み禁止です。健康上の理由や乳幼児の食事等は例外として係員へ申告できます。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,glass_bottle,ビン,不可,ビン入り飲料は持ち込み不可,一般の飲食物持ち込み禁止の対象です。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,large_baggage,大型荷物,条件付き,自席スペースに収まる荷物のみ可,座席からはみ出す荷物や通路を妨げる物は持ち込みを断られる場合があります。球場内に一般用手荷物預かり所はありません。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,更新確認待ち
baystars_yokohama,横浜スタジアム,pet_bottle,ペットボトル,条件付き,1L以下・1本程度なら持ち込み可,体調管理用として、1L以下のペットボトルを1本程度持ち込めます。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,reentry,再入場,条件付き,開門から7回裏終了まで再入場可,所定の再入場手続きを行います。7回裏終了後は再入場できません。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,一次情報確認済
baystars_yokohama,横浜スタジアム,stroller,ベビーカー,要公式確認,公式サイトで明確な記載を確認できません,2026年7月25日時点で、確認した公式の観戦ルール・FAQ内に当該項目の明確な記載を確認できません。来場前に球団・球場公式の最新案内をご確認ください。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,更新確認待ち
baystars_yokohama,横浜スタジアム,umbrella,傘,要公式確認,公式サイトで明確な記載を確認できません,2026年7月25日時点で、確認した公式の観戦ルール・FAQ内に当該項目の明確な記載を確認できません。来場前に球団・球場公式の最新案内をご確認ください。,球団公式,スタジアム入門,https://www.baystars.co.jp/ticket/beginners/,2026/07/25,更新確認待ち
